ingredient_name,foodtable_id,foodtable_name
ししゃも　,10180,＜魚類＞　（ししゃも類）　ししゃも　生干し　生
顆粒和風だし,17028,＜調味料類＞　（だし類）　顆粒和風だし
ぶどうジュース,7118,ぶどう　果実飲料　ストレートジュース
ほうれん草,6267,ほうれんそう　葉　通年平均　生
Ａ顆粒中華だし,17093,＜調味料類＞　（だし類）　顆粒中華だし
Ａ塩,17012,＜調味料類＞　（食塩類）　食塩
Ａこしょう,17064,＜香辛料類＞　こしょう　白　粉
◎ごま油,14002,（植物油脂類）　ごま油
Ｂしょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
Ｂ砂糖,3003,（砂糖類）　車糖　上白糖
Ｂおろしにんにく,17076,＜香辛料類＞　にんにく　おろし
きざみのり,9004,あまのり　焼きのり
絹豆腐,4033,だいず　［豆腐・油揚げ類］　絹ごし豆腐
和風ドレッシング,17116,＜調味料類＞　（ドレッシング類）　分離液状ドレッシング　和風ドレッシング　分離液状
塩昆布,9022,（こんぶ類）　塩昆布
ブロッコリー,6263,ブロッコリー　花序　生
えのき,8001,えのきたけ　生
ココア,16049,＜コーヒー・ココア類＞　ココア　ミルクココア
ロールパン,1034,こむぎ　［パン類］　ロールパン
チキンボール,18051,洋風料理　ハンバーグステーキ類　チキンハンバーグ
はるさめ　乾,2039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾
●洋風出汁,17026,＜調味料類＞　（だし類）　洋風だし
くるみ　いり,5014,くるみ　いり
ごまドレッシング,17117,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　ごまドレッシング
グリ―ンキウイ,7054,キウイフルーツ　緑肉種　生
カリフラワー,6054,カリフラワー　花序　生
チンゲン菜,6160,チンゲンサイ　葉　生
ぽん酢しょうゆ,17110,＜調味料類＞　（調味ソース類）　ぽん酢しょうゆ
練りわさび,17081,＜香辛料類＞　わさび　練り
白菜,6233,はくさい　結球葉　生
A人参,6212,（にんじん類）　にんじん　根　皮つき　生
Aごぼう,6084,（ごぼう類）　ごぼう　根　生
Aさといも,2010,＜いも類＞　（さといも類）　さといも　球茎　生
Aしいたけ,8039,しいたけ　生しいたけ　菌床栽培　生
C顆粒和風だし,17028,＜調味料類＞　（だし類）　顆粒和風だし
C砂糖,3003,（砂糖類）　車糖　上白糖
C料理酒,17138,＜調味料類＞　（その他）　料理酒
Cしょうゆ,17007,＜調味料類＞　（しょうゆ類）　こいくちしょうゆ
ほうれん草　,6267,ほうれんそう　葉　通年平均　生
つきこんにゃく　,2003,＜いも類＞　こんにゃく　板こんにゃく　精粉こんにゃく
ひじき　乾,9050,ひじき　ほしひじき　ステンレス釜　乾
●ねりごま（白）,5042,ごま　ねり
青しその実,6096,しそ　実　生
竹輪,10381,＜水産練り製品＞　焼き竹輪
乾燥白花豆,4068,べにばないんげん　全粒　乾
A玉ねぎ,6153,（たまねぎ類）　たまねぎ　りん茎　生
Aにんにく,6223,（にんにく類）　にんにく　りん茎　生
Aセロリ,6119,セロリ　葉柄　生
ホールトマト缶,6184,（トマト類）　加工品　ホール　食塩無添加
Bこしょう,17064,＜香辛料類＞　こしょう　白　粉
Bコンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
大根,6132,（だいこん類）　だいこん　根　皮つき　生
かいわれ大根,6128,（だいこん類）　かいわれだいこん　芽ばえ　生
●コンソメ,17027,＜調味料類＞　（だし類）　固形ブイヨン
べったら漬け,6141,（だいこん類）　漬物　べったら漬
●片栗粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
ザーサイ,6088,ザーサイ　漬物
餃子,18002,中国料理　点心類　ぎょうざ
アプリコットジャム,7010,あんず　ジャム　高糖度
チンゲン菜　,6160,チンゲンサイ　葉　生
だししょうゆ,17087,＜調味料類＞　（しょうゆ類）　だししょうゆ
豚ばら肉（ブロック）,11129,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生
A片栗粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
小松菜　,6086,こまつな　葉　生
はるさめ,2039,＜でん粉・でん粉製品＞　（でん粉製品）　はるさめ　緑豆はるさめ　乾
カニカマ,10376,＜水産練り製品＞　かに風味かまぼこ
パクチー,6385,コリアンダー　葉　生
Bうすくちしょうゆ,17008,＜調味料類＞　（しょうゆ類）　うすくちしょうゆ
ゆで小豆,4002,あずき　全粒　ゆで
めかじき　,10085,＜魚類＞　（かじき類）　めかじき　生
◎油,14006,（植物油脂類）　調合油
白菜　,6233,はくさい　結球葉　生
鶏ささみ,11229,＜鳥肉類＞　にわとり　［若どり・副品目］　ささみ　ゆで
ぬかみそ漬け,6137,（だいこん類）　漬物　ぬかみそ漬
焼き豚,11195,＜畜肉類＞　ぶた　［その他］　焼き豚
グリンピース,6023,（えんどう類）　グリンピース　生
●オイスターソース,17031,＜調味料類＞　（調味ソース類）　オイスターソース
ラード,14016,（動物油脂類）　ラード
トウバンジャン,17004,＜調味料類＞　（辛味調味料類）　トウバンジャン
B片栗粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
とうがらし,6172,とうがらし　果実　乾
●トマトケチャップ,17036,＜調味料類＞　（トマト加工品類）　トマトケチャップ
●ウスターソース,17001,＜調味料類＞　（ウスターソース類）　ウスターソース
セロリ　,6119,セロリ　葉柄　生
粉とうがらし,17073,＜香辛料類＞　とうがらし　粉
●ぽん酢しょうゆ,17110,＜調味料類＞　（調味ソース類）　ぽん酢しょうゆ
ヨーグルトドリンク,13027,＜牛乳及び乳製品＞　（発酵乳・乳酸菌飲料）　ヨーグルト　ドリンクタイプ　加糖
しらす干し,10055,＜魚類＞　（いわし類）　しらす干し　微乾燥品
野沢菜漬け,6231,のざわな　漬物　調味漬
そば,1129,そば　干しそば　乾
うずら卵（卵黄）,12002,うずら卵　全卵　生
かまぼこ,10379,＜水産練り製品＞　蒸しかまぼこ
梅干し　,7023,うめ　梅干し　調味漬
ほうれんそう,6267,ほうれんそう　葉　通年平均　生
ブロッコリースプラウト,6354,ブロッコリー　芽ばえ　生
カフェオレ,13007,＜牛乳及び乳製品＞　（液状乳類）　乳飲料　コーヒー
みつば,6278,（みつば類）　糸みつば　葉　生
レタス　,6312,（レタス類）　レタス　土耕栽培　結球葉　生
B豆板醤,17004,＜調味料類＞　（辛味調味料類）　トウバンジャン
●穀物酢,17015,＜調味料類＞　（食酢類）　穀物酢
甘夏みかん,7093,（かんきつ類）　なつみかん　砂じょう　生
無塩バター,14018,（バター類）　無発酵バター　食塩不使用バター
あさり（冷凍）,10466,＜貝類＞　あさり　蒸し
冷凍えび,10467,＜えび・かに類＞　（えび類）　アルゼンチンあかえび　生
冷凍イカ,10346,＜いか・たこ類＞　（いか類）　するめいか　水煮
パプリカ　粉,17079,＜香辛料類＞　パプリカ　粉
乾燥とうがらし,6172,とうがらし　果実　乾
Aオリーブ油,14001,（植物油脂類）　オリーブ油
A酢,17015,＜調味料類＞　（食酢類）　穀物酢
●ローストアーモンド（無塩）,5040,アーモンド　いり　無塩
らっかせい（炒り）,5035,らっかせい　大粒種　いり
片栗粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
乾しいたけ,8013,しいたけ　乾しいたけ　乾
パイナップル缶,7102,パインアップル　缶詰
B玉ねぎ,6153,（たまねぎ類）　たまねぎ　りん茎　生
Bピーマン,6245,（ピーマン類）　青ピーマン　果実　生
B人参,6212,（にんじん類）　にんじん　根　皮つき　生
Bたけのこ（水煮）,6150,たけのこ　若茎　ゆで
C中華だし汁,17025,＜調味料類＞　（だし類）　中華だし
C片栗粉,2034,＜でん粉・でん粉製品＞　（でん粉類）　じゃがいもでん粉
水菜　,6072,みずな　葉　生
ピザソース,17037,＜調味料類＞　（トマト加工品類）　トマトソース
りんご,7176,りんご　皮つき　生
中華だし汁,17025,＜調味料類＞　（だし類）　中華だし
●ココナッツミルク,7158,ココナッツ　ココナッツミルク
豚ばら肉,11129,＜畜肉類＞　ぶた　［大型種肉］　ばら　脂身つき　生
ピンクグレープフルーツ,7164,（かんきつ類）　グレープフルーツ　紅肉種　砂じょう　生
●みそ,17045,＜調味料類＞　（みそ類）　米みそ　淡色辛みそ
ミックスベジタブル,6382,（その他）　ミックスベジタブル　冷凍
●粉とうがらし,17073,＜香辛料類＞　とうがらし　粉
ぜんまい（水煮）,6123,ぜんまい　干しぜんまい　干し若芽　ゆで
だいず（水煮）,4024,だいず　［全粒・全粒製品］　全粒　黄大豆　国産　ゆで
こんぶ（乾）,9020,（こんぶ類）　刻み昆布
花麩,1066,こむぎ　［ふ類］　焼きふ　釜焼きふ
あおさ,9001,あおさ　素干し
蒸し中華めん　,1049,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん
ぎょうざ,18002,中国料理　点心類　ぎょうざ
揚げ玉,1172,こむぎ　［小麦粉］　プレミックス粉　天ぷら用　バッター　揚げ
●しらす干し　,10055,＜魚類＞　（いわし類）　しらす干し　微乾燥品
赤えんどう豆（缶）,4075,えんどう　全粒　赤えんどう　ゆで
●粉寒天,9049,てんぐさ　粉寒天
黒蜜,3029,（その他）　黒蜜
●ピーナッツバター（無塩）,5037,らっかせい　ピーナッツバター
おから,4051,だいず　［その他］　おから　生
●粒入りマスタード,17060,＜香辛料類＞　からし　粒入りマスタード
ひじき,9050,ひじき　ほしひじき　ステンレス釜　乾
トマトホール缶,6184,（トマト類）　加工品　ホール　食塩無添加
●ごまドレッシング,17117,＜調味料類＞　（ドレッシング類）　乳化液状ドレッシング　ごまドレッシング
●唐辛子粉,17073,＜香辛料類＞　とうがらし　粉
●しょうゆ,17064,＜香辛料類＞　こしょう　白　粉
いわし（3枚おろし）,10047,＜魚類＞　（いわし類）　まいわし　生
ダイスカットチーズ,13040,＜牛乳及び乳製品＞　（チーズ類）　プロセスチーズ
トマトジュース,6185,（トマト類）　加工品　トマトジュース　食塩添加
抹茶,16035,＜茶類＞　（緑茶類）　抹茶　茶
